id_scenario,acc_train_mean,acc_train_sd,acc_test,f1_train_mean,f1_train_sd,f1_test,log_loss_train_mean,log_loss_train_sd,log_loss_test,demp,eqopp,eqodd
107,0.6577599623193241,0.017601581913898167,0.5995381062355658,0.6005525038761268,0.026219192593648244,0.2756892230576441,0.6664567865738358,0.0013849228366248133,0.6596878763854177,-0.08297489938246952,-0.11056561150551095,0.07042144618209357
108,0.6296307490015602,0.03364053464453596,0.6318706697459584,0.5063535208682141,0.09763403934217868,0.5661404463799674,0.7275978674790093,0.06045285672478659,0.661960504253427,-0.15148272177674005,-0.15544020323031815,0.12549141944461645
109,0.5939811007859953,0.020682321076466864,0.6346420323325636,0.5301039138717837,0.034628024835646413,0.5986808726534754,1.014786320167555,0.22693992538925983,1.0393685854154548,-0.17291109813921568,-0.1561334045563716,0.14395817514640286
110,0.6518176019782355,0.030450805376453106,0.6854503464203233,0.572369319580701,0.0373284832088751,0.6320907617504051,0.6371182236740596,0.015296512537376699,0.5998851365374521,-0.20868195302125686,-0.19220026178544192,0.16951247436320396
111,0.6601367887036473,0.023270388193570416,0.6757505773672056,0.5713842415915176,0.04050570387541129,0.6497005988023953,0.6335292556522548,0.015640731198505918,0.5953054621700865,-0.2253858285456799,-0.19401889585261722,0.1863430794111029
112,0.6631051231981474,0.01044619232601316,0.6886836027713625,0.5805747087781395,0.027420893938774313,0.6166097838452788,0.6200618039252018,0.010273409421303208,0.5935183404922719,-0.19718817099689018,-0.19410452660465916,0.15885906115563905
113,0.6607286893208647,0.01361821099607688,0.6762124711316397,0.583177495613561,0.031342212334809605,0.5917297612114153,0.621990881579146,0.009335551637691281,0.599844513300041,-0.18725357665878112,-0.19143774032678323,0.15253163104591994
114,0.6718193682599182,0.009789447543446137,0.6919168591224019,0.6005773633579198,0.012078125028545533,0.6133333333333333,0.6202495419928982,0.008062630085832514,0.5995241409575682,-0.19275212414786597,-0.1916457007245993,0.15402946932473258
115,0.6682546193172341,0.010250857488081378,0.6877598152424942,0.599495274639251,0.014068011442130244,0.6244444444444446,0.6187062278608323,0.008637493757926211,0.5962027707084532,-0.20065047227940097,-0.18439970803991212,0.1612666399472071
116,0.6072537263637167,0.03056973621128838,0.5755196304849884,0.3264527882561966,0.18675742066138054,0.1757847533632287,0.6812751349560793,0.005179817693910337,0.6750185388102538,-0.059410427355679134,-0.08660123389836037,0.05269984175538174
117,0.662710457368829,0.014256169391710568,0.6775981524249423,0.6063845542402592,0.02095627032116062,0.5805288461538461,0.628760438092016,0.005130597257224429,0.6116190825550678,-0.1884713986775494,-0.19643286752922662,0.15415710162388582
118,0.5541691116584404,0.00043741999672258796,0.5381062355658198,0.0,0.0,0.0,0.6925719412898295,0.00015474485079369882,0.691313375367338,0.0,0.0,0.0
119,0.6577599623193241,0.017601581913898167,0.5995381062355658,0.6005525038761268,0.026219192593648244,0.2756892230576441,0.6664567865738358,0.0013849228366248133,0.6596878763854177,-0.08297489938246952,-0.11056561150551095,0.07042144618209357
120,0.6296307490015602,0.03364053464453596,0.6318706697459584,0.5063535208682141,0.09763403934217868,0.5661404463799674,0.7275978674790093,0.06045285672478659,0.661960504253427,-0.15148272177674005,-0.15544020323031815,0.12549141944461645
121,0.5939811007859953,0.020682321076466864,0.6346420323325636,0.5301039138717837,0.034628024835646413,0.5986808726534754,1.014786320167555,0.22693992538925983,1.0393685854154548,-0.17291109813921568,-0.1561334045563716,0.14395817514640286
122,0.6518176019782355,0.030450805376453106,0.6854503464203233,0.572369319580701,0.0373284832088751,0.6320907617504051,0.6371182236740596,0.015296512537376699,0.5998851365374521,-0.20868195302125686,-0.19220026178544192,0.16951247436320396
